POSTALCODE,COUNTRY,STATE,ACI_AIRPORT,ACI_ZONE
35160,US,AL,BHM,E
35118,US,AL,BHM,D
35773,US,AL,HSV,D
35490,US,AL,BHM,E
35216,US,AL,BHM,B
35242,US,AL,BHM,D
35592,US,AL,BHM,F
36582,US,AL,MOB,C
35404,US,AL,BHM,E
35226,US,AL,BHM,C
35216,US,AL,BHM,B
35226,US,AL,BHM,C
35989,US,AL,CHA,D
35242,US,AL,BHM,D
36688,US,AL,MOB,A
35674,US,AL,HSV,C
35056,US,AL,BHM,E
35126,US,AL,BHM,D
35405,US,AL,BHM,E
35406,US,AL,BHM,E
35486,US,AL,BHM,E
35904,US,AL,BHM,E
71602,US,AR,LIT,C
71601,US,AR,LIT,C
71658,US,AR,LIT,F
71601,US,AR,LIT,C
71659,US,AR,LIT,F
71665,US,AR,LIT,F
71630,US,AR,LIT,F
71770,US,AR,LIT,F
71838,US,AR,LIT,F
71677,US,AR,LIT,F
71674,US,AR,LIT,F
71675,US,AR,LIT,F
71635,US,AR,LIT,F
71601,US,AR,LIT,C
71758,US,AR,LIT,F
71721,US,AR,LIT,F
71762,US,AR,LIT,F
71731,US,AR,LIT,F
71730,US,AR,LIT,F
71728,US,AR,LIT,F
71724,US,AR,LIT,F
72113,US,AR,LIT,B
71802,US,AR,LIT,F
71765,US,AR,LIT,F
71825,US,AR,LIT,F
71638,US,AR,LIT,F
71801,US,AR,LIT,F
71766,US,AR,LIT,F
71835,US,AR,LIT,F
71764,US,AR,LIT,F
71678,US,AR,LIT,F
71822,US,AR,LIT,F
71646,US,AR,LIT,F
71643,US,AR,LIT,F
71642,US,AR,LIT,F
71657,US,AR,LIT,E
71901,US,AR,LIT,C
71847,US,AR,LIT,F
71846,US,AR,LIT,F
71853,US,AR,LIT,F
71901,US,AR,LIT,C
71902,US,AR,LIT,C
71901,US,AR,LIT,C
71901,US,AR,LIT,C
71901,US,AR,LIT,C
71744,US,AR,LIT,F
71901,US,AR,LIT,C
72099,US,AR,LIT,B
71854,US,AR,LIT,F
71901,US,AR,LIT,C
71901,US,AR,LIT,C
71901,US,AR,LIT,C
71901,US,AR,LIT,C
71901,US,AR,LIT,C
71901,US,AR,LIT,C
71901,US,AR,LIT,C
71909,US,AR,LIT,C
71901,US,AR,LIT,C
72601,US,AR,LIT,F
71901,US,AR,LIT,C
71923,US,AR,LIT,D
71654,US,AR,LIT,F
71653,US,AR,LIT,F
71923,US,AR,LIT,D
71923,US,AR,LIT,D
71923,US,AR,LIT,D
71923,US,AR,LIT,D
71923,US,AR,LIT,D
71920,US,AR,LIT,F
71923,US,AR,LIT,D
71913,US,AR,LIT,C
71901,US,AR,LIT,C
71914,US,AR,LIT,C
